# Rime user dictionary
#@/db_name	rime_mint
#@/db_type	userdb
#@/rime_version	1.9.0
#@/tick	19590
#@/user_id	c9f9f78f-86f8-43c0-aa8d-5b4cd8469c68
a 	啊	c=33 d=6.36438 t=19590
yi tian 	一天	c=1 d=0.625002 t=19590
yi tiao 	一条	c=3 d=1.67978 t=19590
yi wei 	一位	c=2 d=0.628543 t=19590
yi wei 	以为	c=4 d=2.04056 t=19590
yi wei 	意味	c=1 d=0.588605 t=19590
yi xia 	一下	c=71 d=8.68941 t=19590
yi xia zi 	一下子	c=1 d=0.625002 t=19590
yi xie 	一些	c=17 d=3.76559 t=19590
yi ya gen bu 	已压根不	c=1 d=0.923116 t=19590
yi yang 	一样	c=28 d=5.13262 t=19590
yi yang 	益阳	c=2 d=1.29179 t=19590
yi you 	已有	c=2 d=1.19694 t=19590
yi zhi 	一直	c=28 d=6.59026 t=19590
yi zhi 	一致	c=1 d=0.891366 t=19590
yin 	银	c=0 d=0.0763379 t=19590
yin cang 	隐藏	c=3 d=2.23227 t=19590
yin hao 	引号	c=10 d=4.16695 t=19590
yin qing 	引擎	c=1 d=0.99005 t=19590
yin se 	音色	c=1 d=0.985112 t=19590
yin wei 	因为	c=18 d=2.48966 t=19590
yin wen 	引文	c=1 d=0.88692 t=19590
yin yue 	音乐	c=7 d=5.23981 t=19590
ying 	硬	c=1 d=0.737123 t=19590
ying dui 	应对	c=1 d=0.960789 t=19590
ying gai 	应该	c=105 d=6.88116 t=19590
ying gai hai 	应该还	c=1 d=0.132655 t=19590
ying she 	映射	c=5 d=1.39224 t=19590
ying shi 	影视	c=1 d=0.970446 t=19590
ying wen 	英文	c=6 d=3.91938 t=19590
ying xiang 	影响	c=21 d=3.60804 t=19590
ying yong 	应用	c=11 d=3.47597 t=19590
ying yong ni 	应用你	c=1 d=0.537944 t=19590
yong 	永	c=2 d=1.19977 t=19590
yong 	用	c=101 d=8.75927 t=19590
yong bu 	永不	c=5 d=1.92573 t=19590
yong bu dao 	用不到	c=1 d=0.509156 t=19590
yong dao 	用到	c=2 d=1.06269 t=19590
yong de 	用的	c=6 d=2.01388 t=19590
yong guo 	用过	c=3 d=1.27031 t=19590
yong hu 	用户	c=18 d=4.7169 t=19590
yong hu ming 	用户名	c=1 d=0.97531 t=19590
yong lai 	用来	c=3 d=1.85883 t=19590
yong le 	用了	c=3 d=1.43524 t=19590
yong li 	用例	c=29 d=10.0743 t=19590
yong qi lai 	用起来	c=1 d=0.400517 t=19590
yong yu 	用于	c=2 d=1.03858 t=19590
you 	优	c=2 d=1.77819 t=19590
you 	又	c=18 d=4.97328 t=19590
you 	有	c=111 d=7.84172 t=19590
you 	由	c=1 d=0.548812 t=19590
you ban fa 	有办法	c=1 d=0.170333 t=19590
you dei 	又得	c=1 d=0.718924 t=19590
you dian 	有点	c=12 d=3.0665 t=19590
you ge 	有个	c=6 d=1.55676 t=19590
you hua 	优化	c=8 d=2.17062 t=19590
you ke neng 	有可能	c=4 d=1.85247 t=19590
you lan jie 	有拦截	c=1 d=0.941765 t=19590
you le 	有了	c=2 d=0.979991 t=19590
you le ma 	有了吗	c=1 d=0.722527 t=19590
you ma 	有吗	c=1 d=0.99005 t=19590
you mei you 	有没有	c=20 d=3.86423 t=19590
you ou 	有偶	c=1 d=0.506617 t=19590
you qu 	又去	c=1 d=0.752014 t=19590
you ren 	有人	c=1 d=0.88692 t=19590
you sha 	有啥	c=4 d=1.30939 t=19590
you shen me 	有什么	c=1 d=0.131994 t=19590
you shi 	优势	c=2 d=1.97531 t=19590
you shi 	又是	c=1 d=0.995012 t=19590
you shi 	有事	c=1 d=0.904837 t=19590
you shi hou 	有时候	c=7 d=1.95577 t=19590
you wen ti 	有问题	c=4 d=1.26996 t=19590
you xi 	游戏	c=1 d=0.980199 t=19590
you xian ji 	优先级	c=3 d=1.42324 t=19590
you xiao 	有效	c=2 d=1.68696 t=19590
you xie 	有些	c=10 d=2.7715 t=19590
you yi ge 	有一个	c=1 d=0.145148 t=19590
you yi xie 	有一些	c=1 d=0.680451 t=19590
you yi zhong 	有一种	c=1 d=0.932394 t=19590
you yong 	有用	c=2 d=0.801681 t=19590
you yu 	犹豫	c=1 d=0.722527 t=19590
you zhong 	有种	c=1 d=0.951229 t=19590
yu 	与	c=8 d=2.76594 t=19590
yu 	语	c=1 d=0.759572 t=19590
yu 	鱼	c=1 d=0.733447 t=19590
yu jian 	遇见	c=1 d=0.752014 t=19590
yu ming 	域名	c=106 d=11.6923 t=19590
yu yan 	语言	c=2 d=1.91693 t=19590
yuan 	原	c=3 d=2.8586 t=19590
yuan 	源	c=11 d=4.32587 t=19590
yuan cheng 	远程	c=3 d=1.41309 t=19590
yuan dai ma 	源代码	c=1 d=0.878095 t=19590
yuan jiao 	圆角	c=1 d=0.250324 t=19590
yuan lai 	原来	c=3 d=1.73482 t=19590
yuan shi 	原始	c=8 d=2.81014 t=19590
yuan shi shu ju 	原始数据	c=1 d=0.65377 t=19590
yuan su 	元素	c=7 d=5.36416 t=19590
yuan wen jian 	原文件	c=1 d=0.600496 t=19590
yuan yin 	原因	c=10 d=2.61673 t=19590
yuan zha nan 	源渣男	c=2 d=1.69659 t=19590
yuan zhan 	原站	c=1 d=0.551563 t=19590
yuan zhan 	源站	c=57 d=9.83865 t=19590
yue 	月	c=1 d=0.585669 t=19590
yun 	云	c=3 d=1.39436 t=19590
yun 	晕	c=1 d=0.637628 t=19590
yun gai 	云盖	c=1 d=0.162026 t=19590
yun wei 	运维	c=1 d=0.831104 t=19590
yun xi guang 	云隙光	c=1 d=0.873716 t=19590
yun xing 	运行	c=56 d=8.93473 t=19590
yun xing de 	运行的	c=1 d=0.941765 t=19590
yun xing shi 	运行时	c=1 d=0.99005 t=19590
yun ying shang 	运营商	c=1 d=0.826959 t=19590
yun zu 	云组	c=1 d=0.814647 t=19590
za 	咋	c=7 d=3.70468 t=19590
za yang 	咋样	c=1 d=0.657047 t=19590
za zheng 	咋整	c=2 d=1.15838 t=19590
zai 	再	c=67 d=7.31462 t=19590
zai 	在	c=94 d=9.10937 t=19590
zai ci 	在此	c=1 d=0.771052 t=19590
zai kan 	再看	c=1 d=1 t=19590
zai lai 	再来	c=1 d=0.865022 t=19590
zai wo 	在我	c=1 d=0.904837 t=19590
zai xian 	在线	c=3 d=2.25967 t=19590
zai xiang 	在想	c=1 d=0.382893 t=19590
zan shi 	暂时	c=2 d=1.31085 t=19590
zan zhu 	赞助	c=1 d=0.891366 t=19590
zang 	脏	c=1 d=0.99005 t=19590
zao zhi dao 	早知道	c=1 d=0.878095 t=19590
ze 	则	c=6 d=2.51593 t=19590
zen 	怎	c=1 d=0.860708 t=19590
zen me 	怎么	c=102 d=11.321 t=19590
zen me ban 	怎么办	c=1 d=0.733447 t=19590
zen me chu li 	怎么处理	c=2 d=1.0234 t=19590
zen me gai 	怎么改	c=1 d=0.540641 t=19590
zen me shuo 	怎么说	c=2 d=1.15291 t=19590
zen me yang 	怎么样	c=7 d=2.25572 t=19590
zen me zheng 	怎么整	c=2 d=0.596341 t=19590
zeng jia 	增加	c=71 d=11.2915 t=19590
zha nan 	渣男	c=0 d=0.0794534 t=19590
zhan 	占	c=1 d=0.847894 t=19590
zhan 	站	c=1 d=0.704688 t=19590
zhan dian 	站点	c=2 d=1.50928 t=19590
zhan kai 	展开	c=2 d=1.78965 t=19590
zhan shi 	展示	c=1 d=0.918512 t=19590
zhan tie ban 	粘贴板	c=1 d=0.995012 t=19590
zhan yong 	占用	c=2 d=0.786628 t=19590
zhang de 	长得	c=1 d=0.831104 t=19590
zhang hao 	账号	c=11 d=2.09274 t=19590
zhao 	找	c=9 d=2.21697 t=19590
zhao biao 	招标	c=1 d=0.985112 t=19590
zhao bu dao 	找不到	c=1 d=0.918512 t=19590
zhao chu 	找出	c=1 d=0.937067 t=19590
zhao dao 	找到	c=5 d=2.5326 t=19590
zhao gong zuo 	找工作	c=1 d=0.782705 t=19590
zhao hui 	找回	c=1 d=0.551563 t=19590
zhao le 	找了	c=1 d=0.946485 t=19590
zhao ni 	找你	c=1 d=0.843665 t=19590
zhe 	着	c=1 d=0.463013 t=19590
zhe 	这	c=13 d=2.58451 t=19590
zhe bian 	这边	c=23 d=4.21536 t=19590
zhe ci 	这次	c=2 d=1.32082 t=19590
zhe dao di 	这到底	c=1 d=0.937067 t=19590
zhe er 	这儿	c=4 d=1.83283 t=19590
zhe fang mian 	这方面	c=1 d=0.537944 t=19590
zhe ge 	这个	c=493 d=19.8522 t=19590
zhe ge ba 	这个吧	c=1 d=0.97531 t=19590
zhe ge dong xi 	这个东西	c=1 d=0.810584 t=19590
zhe ge ge 	这个歌	c=2 d=1.05831 t=19590
zhe ge shi 	这个是	c=1 d=0.763379 t=19590
zhe hui 	这会	c=1 d=0.694197 t=19590
zhe ji ge 	这几个	c=1 d=0.814647 t=19590
zhe jia 	这家	c=2 d=1.79671 t=19590
zhe kuai 	这块	c=3 d=0.873716 t=19590
zhe lei 	这类	c=2 d=0.767206 t=19590
zhe li 	这里	c=74 d=7.72694 t=19590
zhe liang ge 	这两个	c=7 d=2.86773 t=19590
zhe me 	这么	c=10 d=2.68107 t=19590
zhe me duo 	这么多	c=4 d=1.27491 t=19590
zhe me jiu 	这么久	c=2 d=1.20327 t=19590
zhe me kuai 	这么快	c=1 d=0.298197 t=19590
zhe me shao 	这么少	c=1 d=1 t=19590
zhe shi 	这是	c=11 d=3.45338 t=19590
zhe tiao 	这条	c=2 d=1.26254 t=19590
zhe wan yi er 	这玩意儿	c=17 d=4.0313 t=19590
zhe xie 	这些	c=18 d=3.97385 t=19590
zhe yang 	这样	c=16 d=3.05959 t=19590
zhe yi dui 	这一对	c=1 d=0.97531 t=19590
zhe yi ge 	这一个	c=1 d=0.763379 t=19590
zhe yi kuai 	这一块	c=2 d=0.313486 t=19590
zhe ying gai 	这应该	c=2 d=1.14251 t=19590
zhe zhong 	这种	c=24 d=2.90738 t=19590
zhen 	真	c=1 d=0.99005 t=19590
zhen de 	真的	c=4 d=1.64733 t=19590
zhen dui 	针对	c=1 d=0.970446 t=19590
zhen hao kan 	真好看	c=1 d=0.818731 t=19590
zhen nan 	真难	c=1 d=0.718924 t=19590
zhen shi 	真是	c=1 d=0.955997 t=19590
zheng 	政	c=6 d=1.49428 t=19590
zheng 	整	c=23 d=3.53427 t=19590
zheng bu hao 	整不好	c=1 d=0.628135 t=19590
zheng chan 	正产	c=1 d=0.737123 t=19590
zheng chang 	正常	c=14 d=4.36902 t=19590
zheng chu 	整出	c=1 d=0.123687 t=19590
zheng de 	整的	c=1 d=0.332871 t=19590
zheng ge 	整个	c=11 d=2.16948 t=19590
zheng li 	整理	c=2 d=0.687774 t=19590
zheng que 	正确	c=1 d=0.839457 t=19590
zheng shi 	正式	c=1 d=0.932394 t=19590
zheng shu 	证书	c=1 d=1 t=19590
zheng ti 	整体	c=6 d=2.71047 t=19590
zheng xia 	郑侠	c=1 d=0.965605 t=19590
zheng ze 	正则	c=6 d=2.93707 t=19590
zheng zhi zheng que 	政治正确	c=1 d=0.774916 t=19590
zhi 	值	c=3 d=1.77041 t=19590
zhi 	只	c=25 d=4.05558 t=19590
zhi 	志	c=13 d=5.08981 t=19590
zhi 	指	c=1 d=0.865022 t=19590
zhi 	智	c=8 d=3.83735 t=19590
zhi cheng 	支撑	c=1 d=0.88692 t=19590
zhi chi 	支持	c=3 d=1.1868 t=19590
zhi dao 	知道	c=6 d=2.20576 t=19590
zhi dao le 	知道了	c=2 d=1.41556 t=19590
zhi ding 	指定	c=27 d=5.61099 t=19590
zhi hou 	之后	c=2 d=1.62247 t=19590
zhi hou jie 	之后解	c=1 d=0.852144 t=19590
zhi hui 	只会	c=3 d=1.52818 t=19590
zhi jie 	直接	c=76 d=7.14021 t=19590
zhi jie en 	直接嗯	c=2 d=1.48415 t=19590
zhi lei 	之类	c=12 d=3.44146 t=19590
zhi lei hen duo 	之类很多	c=1 d=0.650509 t=19590
zhi neng 	只能	c=12 d=1.90738 t=19590
zhi neng 	智能	c=1 d=0.763379 t=19590
zhi qian 	之前	c=4 d=1.81549 t=19590
zhi shao 	至少	c=1 d=0.909373 t=19590
zhi shi 	只是	c=7 d=2.2656 t=19590
zhi wen 	指纹	c=1 d=0.71177 t=19590
zhi xiang 	指向	c=7 d=2.49147 t=19590
zhi xing 	执行	c=93 d=11.1584 t=19590
zhi xing qian 	执行前	c=1 d=0.83527 t=19590
zhi xing wan 	执行完	c=1 d=0.489192 t=19590
zhi xing zhong duan 	执行中断	c=1 d=0.571209 t=19590
zhi xu yao 	只需要	c=2 d=0.888186 t=19590
zhi yao 	只要	c=13 d=2.52977 t=19590
zhi you 	只有	c=24 d=4.50997 t=19590
zhi you o 	只有哦	c=1 d=0.644036 t=19590
zhi zuo 	只做	c=2 d=0.71601 t=19590
zhong 	中	c=54 d=9.00088 t=19590
zhong 	种	c=1 d=0.918512 t=19590
zhong duan 	中断	c=1 d=0.786628 t=19590
zhong duan 	终端	c=8 d=3.50895 t=19590
zhong guo 	中国	c=3 d=1.79059 t=19590
zhong jian 	中间	c=4 d=2.64573 t=19590
zhong tian 	种田	c=1 d=0.852144 t=19590
zhong wen 	中文	c=10 d=4.11527 t=19590
zhong ying wen 	中英文	c=2 d=0.980199 t=19590
zhong zhi 	终止	c=1 d=0.839457 t=19590
zhou 	周	c=10 d=6.22163 t=19590
zhou bao 	周报	c=5 d=1.2147 t=19590
zhou er 	周二	c=1 d=0.67032 t=19590
zhou nian 	周年	c=1 d=0.995012 t=19590
zhou ren wu 	周任务	c=1 d=0.843665 t=19590
zhou wu 	周五	c=1 d=0.744532 t=19590
zhu 	主	c=1 d=0.371577 t=19590
zhu ji 	主机	c=1 d=0.438235 t=19590
zhu jie 	注解	c=2 d=1.75621 t=19590
zhu ru 	注入	c=1 d=0.869358 t=19590
zhu shi 	注释	c=3 d=2.51127 t=19590
zhu shou 	助手	c=2 d=1.56557 t=19590
zhu ti 	主题	c=6 d=2.67148 t=19590
zhu xian 	主线	c=2 d=1.26656 t=19590
zhu ya 	蛀牙	c=1 d=0.822835 t=19590
zhu yao 	主要	c=13 d=2.9085 t=19590
zhu yi 	注意	c=2 d=0.824492 t=19590
zhua 	抓	c=3 d=1.25324 t=19590
zhua bao 	抓包	c=10 d=4.49764 t=19590
zhua qu 	抓取	c=1 d=0.923116 t=19590
zhua zhua 	抓抓	c=1 d=0.562705 t=19590
zhuan 	转	c=11 d=3.4793 t=19590
zhuan fa 	转发	c=1 d=0.937067 t=19590
zhuan hua 	转化	c=1 d=0.637628 t=19590
zhuan huan 	转换	c=18 d=4.96821 t=19590
zhuan huan cheng 	转换成	c=1 d=0.683861 t=19590
zhuan men 	专门	c=4 d=1.84956 t=19590
zhuan ye ban 	专业版	c=1 d=0.965605 t=19590
zhuan yi 	转义	c=3 d=1.50895 t=19590
zhuan yi 	转译	c=2 d=1.29757 t=19590
zhuan yong yu 	专用于	c=1 d=0.666977 t=19590
zhuang 	装	c=6 d=2.41664 t=19590
zhuang hao 	装好	c=1 d=0.774916 t=19590
zhuang le 	装了	c=1 d=0.740818 t=19590
zhuang tai 	状态	c=76 d=11.3329 t=19590
zhuang tai le 	状态了	c=1 d=0.157237 t=19590
zhuang tai ma 	状态码	c=24 d=5.77369 t=19590
zhuang ti 	装提	c=1 d=0.156453 t=19590
zhuang xia 	装下	c=2 d=1.55617 t=19590
zhun 	准	c=1 d=0.680451 t=19590
zhun bei 	准备	c=6 d=2.22375 t=19590
zhun que 	准确	c=3 d=1.41741 t=19590
zhun que dian 	准确点	c=1 d=0.474734 t=19590
zhun que xing 	准确性	c=17 d=4.13353 t=19590
zhuo 	卓	c=1 d=0.932394 t=19590
zhuo mian 	桌面	c=6 d=3.79614 t=19590
zhuo miao 	卓秒	c=1 d=0.70822 t=19590
zi 	子	c=3 d=1.87099 t=19590
zi 	自	c=4 d=1.56462 t=19590
zi dai 	自带	c=3 d=1.30769 t=19590
zi dian 	字典	c=7 d=2.22812 t=19590
zi ding yi 	自定义	c=10 d=3.81214 t=19590
zi dong 	自动	c=35 d=7.10243 t=19590
zi dong hua 	自动化	c=28 d=5.2 t=19590
zi duan 	字段	c=4 d=1.99488 t=19590
zi fu 	字符	c=10 d=2.63529 t=19590
zi fu chuan 	字符串	c=18 d=5.77867 t=19590
zi ji 	自己	c=10 d=2.8059 t=19590
zi jian 	自建	c=1 d=0.603506 t=19590
zi jie 	字节	c=1 d=0.726149 t=19590
zi jin cheng 	子进程	c=1 d=0.66034 t=19590
zi qi dong 	自启动	c=3 d=1.67485 t=19590
zi she bei 	自设备	c=2 d=1.80337 t=19590
zi ti 	字体	c=9 d=6.75266 t=19590
zi xing 	自行	c=1 d=0.465334 t=19590
zi yong 	自用	c=1 d=0.421052 t=19590
zong 	总	c=9 d=2.51014 t=19590
zong gan jue 	总感觉	c=1 d=0.250324 t=19590
zong he 	综合	c=0 d=0.0927743 t=19590
zong hui 	总会	c=1 d=0.985112 t=19590
zong liang 	总量	c=2 d=0.818126 t=19590
zong shi 	总是	c=1 d=0.562705 t=19590
zong shu 	总数	c=18 d=6.00593 t=19590
zou 	走	c=7 d=2.0176 t=19590
zou dao 	走到	c=2 d=0.810584 t=19590
zou le 	走了	c=1 d=0.955997 t=19590
zu he 	组合	c=1 d=0.818731 t=19590
zu se 	阻塞	c=3 d=2.41659 t=19590
zu zhi 	阻止	c=1 d=0.166127 t=19590
zui 	最	c=1 d=0.833375 t=19590
zui da 	最大	c=4 d=2.40635 t=19590
zui da hua 	最大化	c=7 d=2.13111 t=19590
zui di 	最低	c=1 d=0.66365 t=19590
zui duo 	最多	c=2 d=0.961438 t=19590
zui fan 	最烦	c=1 d=0.856415 t=19590
zui hao 	最好	c=1 d=0.752014 t=19590
zui hao shi 	最好是	c=1 d=0.913931 t=19590
zui hou 	最后	c=7 d=3.31896 t=19590
zui jin 	最近	c=4 d=2.09397 t=19590
zui kai shi 	最开始	c=1 d=0.470011 t=19590
zui kuai 	最快	c=1 d=0.755784 t=19590
zui shao 	最少	c=1 d=0.677057 t=19590
zui xiao 	最小	c=3 d=1.80259 t=19590
zui xiao hua 	最小化	c=2 d=0.511709 t=19590
zui xiao ou 	最小鸥	c=1 d=0.160414 t=19590
zui xin 	最新	c=2 d=0.821519 t=19590
zuo 	佐	c=6 d=1.48683 t=19590
zuo 	作	c=1 d=0.591555 t=19590
zuo 	做	c=26 d=4.91728 t=19590
zuo 	坐	c=2 d=1.81931 t=19590
zuo de 	做的	c=1 d=0.298197 t=19590
zuo hao 	做好	c=1 d=0.909373 t=19590
zuo le 	做了	c=2 d=0.897195 t=19590
zuo tian 	昨天	c=13 d=3.84522 t=19590
zuo wei 	作为	c=8 d=1.72632 t=19590
